,0
HOUR_38_CLOSE_HIGHER_THAN_39,0.002125686562778113
DEMA_15_MINUS_8_HOUR,0.002123768899933832
current_hour_bars_10_close,0.0021197361601723156
HOUR_07_CLOSE_HIGHER_THAN_17,0.0021162087064893836
HOUR_21_CLOSE_HIGHER_THAN_22,0.002114068655429854
HOUR_01_CLOSE_HIGHER_THAN_11,0.002108574291856072
DEMA_15_MINUS_6_HOUR,0.0021058362899972743
HOUR_08_CLOSE_HIGHER_THAN_18,0.002105197792371903
HOUR_09_CLOSE_HIGHER_THAN_19,0.002104477478186969
LATEST_HOUR_CLOSE_HIGHER_THAN_10,0.002101247284781337
HOUR_16_CLOSE_HIGHER_THAN_21,0.002100254305266058
same_signal_in_last_3_hour,0.002097210585720394
HOUR_15_CLOSE_HIGHER_THAN_20,0.002093051889389904
HOUR_34_CLOSE_HIGHER_THAN_35,0.002089614436024664
current_hour_bars_11_close,0.0020894255524546482
HOUR_32_CLOSE_HIGHER_THAN_33,0.0020831502744910533
HOUR_44_CLOSE_HIGHER_THAN_45,0.0020829985162615387
HOUR_22_CLOSE_HIGHER_THAN_23,0.002081980089697161
EMA_20_MINUS_9_HOUR,0.0020794002007865735
HOUR_33_CLOSE_HIGHER_THAN_34,0.002074330669291336
current_hour_bars_05_volume,0.0020740067313461895
current_hour_bars_08_volume,0.0020610660635417767
current_hour_bars_09_volume,0.002058045104502463
HOUR_10_CLOSE_HIGHER_THAN_20,0.002057068399996338
HOUR_35_CLOSE_HIGHER_THAN_36,0.002048493345007685
HOUR_21_CLOSE_HIGHER_THAN_26,0.0020450056775134355
DEMA_15_MINUS_9_HOUR,0.0020435438985374
current_hour_bars_13_volume,0.0020392136426510476
HOUR_47_CLOSE_HIGHER_THAN_48,0.002031623844270279
current_hour_bars_07_volume,0.0020303325578079337
HOUR_31_CLOSE_HIGHER_THAN_32,0.002024385518825313
HOUR_15_CLOSE_HIGHER_THAN_25,0.0020239527868843032
current_hour_bars_12_close,0.0020228813859273914
HOUR_19_CLOSE_HIGHER_THAN_24,0.002018540401311912
HOUR_41_CLOSE_HIGHER_THAN_42,0.0020151810854460482
HOUR_18_CLOSE_HIGHER_THAN_23,0.0020149387480669755
current_hour_bars_14_close,0.0020144319098004547
HOUR_43_CLOSE_HIGHER_THAN_44,0.0020065869510719515
current_hour_bars_13_close,0.0020057316073052328
HOUR_42_CLOSE_HIGHER_THAN_47,0.002000929268283122
HOUR_43_CLOSE_HIGHER_THAN_48,0.001997570183062416
HOUR_39_CLOSE_HIGHER_THAN_40,0.001997249052163457
current_hour_bars_12_volume,0.001993536718446968
current_hour_bars_10_volume,0.0019877780864473427
HOUR_42_CLOSE_HIGHER_THAN_43,0.001979141316614241
HOUR_12_CLOSE_HIGHER_THAN_22,0.0019765150349353596
HOUR_18_CLOSE_HIGHER_THAN_28,0.001974959656691837
HOUR_22_CLOSE_HIGHER_THAN_27,0.0019670871550096034
HOUR_46_CLOSE_HIGHER_THAN_47,0.0019601101111202026
HOUR_37_CLOSE_HIGHER_THAN_38,0.0019563242467935324
HOUR_28_CLOSE_HIGHER_THAN_33,0.0019480323826732476
HOUR_24_CLOSE_HIGHER_THAN_29,0.0019478837642131195
current_hour_bars_11_volume,0.0019470643386920073
current_hour_bars_18_close,0.0019400857543463428
current_hour_bars_15_volume,0.0019308691257919706
HOUR_26_CLOSE_HIGHER_THAN_31,0.0019291660511123968
HOUR_31_CLOSE_HIGHER_THAN_36,0.001919515470134427
HOUR_29_CLOSE_HIGHER_THAN_34,0.0019131240672676784
HOUR_33_CLOSE_HIGHER_THAN_38,0.0019072377598431229
HOUR_41_CLOSE_HIGHER_THAN_46,0.0019043634652745709
current_hour_bars_16_volume,0.0019027956659284522
HOUR_25_CLOSE_HIGHER_THAN_30,0.0018989574479947114
HOUR_37_CLOSE_HIGHER_THAN_42,0.001895546801402724
HOUR_13_CLOSE_HIGHER_THAN_23,0.0018937976102009729
HOUR_19_CLOSE_HIGHER_THAN_29,0.0018908876189028475
HOUR_27_CLOSE_HIGHER_THAN_32,0.0018664571160389948
HOUR_34_CLOSE_HIGHER_THAN_39,0.0018630542819392459
HOUR_14_CLOSE_HIGHER_THAN_24,0.001861111220463045
HOUR_36_CLOSE_HIGHER_THAN_37,0.0018538361115006021
HOUR_40_CLOSE_HIGHER_THAN_41,0.00184580623492918
current_hour_bars_17_close,0.0018390521538119919
HOUR_21_CLOSE_HIGHER_THAN_31,0.0018179532007515853
HOUR_17_CLOSE_HIGHER_THAN_27,0.0018160835266778075
current_hour_bars_14_volume,0.0018120602300181158
HOUR_38_CLOSE_HIGHER_THAN_43,0.0018036202115612602
